town,ward,precinct,office,district,party,candidate,votes
Holbrook,,,U.S. House,10th,Republican,All Others,0
Hingham,,,U.S. House,10th,Democratic,William D. Delahunt,2183
Wellesley,,,State House,14th Norfolk,,All Others,2
Middleborough,,,State House,12th Plymouth,Democratic,All Others,1
Walpole,,,U.S. Senate,,Libertarian,Blank Votes,0
Freetown,,,U.S. Senate,,Republican,Total Votes Cast,87
Hampden,,,U.S. House,2nd,Democratic,Blank Votes,0
Phillipston,,,U.S. Senate,,Democratic,Edward M. Kennedy,24
Malden,,,State House,31st Middlesex,Democratic,All Others,2
TOTALS,,,State House,8th Plymouth,Democratic,All Others,4
Shelburne,,,Governor's Council,8th,Democratic,All Others,0
Southampton,,,U.S. House,1st,Republican,Blank Votes,4
Manchester-by-the-Sea,,,Governor's Council,5th,Democratic,Total Votes Cast,109
Westfield,,,Governor's Council,8th,Democratic,Blank Votes,51
Chesterfield,,,U.S. House,1st,Republican,Peter J. Abair,9
Boxford,,,U.S. House,6th,Republican,Paul McCarthy,120
Granby,,,U.S. Senate,,Democratic,All Others,0
Westford,,,State Senate,1st Middlesex,Libertarian,All Others,0
New Salem,,,U.S. Senate,,Libertarian,Blank Votes,0
Springfield,,,U.S. Senate,,Democratic,Edward M. Kennedy,6844
Bourne,,,State House,2nd Plymouth,,All Others,1
TOTALS,,,State House,2nd Essex,Republican,Total Votes Cast,891
Yarmouth,,,U.S. Senate,,Republican,Blank Votes,148
Northfield,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,29
Dunstable,,,State Senate,1st Middlesex,Libertarian,Blank Votes,1
TOTALS,,,State House,29th Middlesex,Democratic,Blank Votes,481
Plympton,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Needham,,,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Total Votes Cast,1028
Southborough,,,U.S. Senate,,Libertarian,Carla A. Howell,3
Rehoboth,,,U.S. House,4th,Republican,All Others,1
Rockport,,,U.S. Senate,,Republican,Blank Votes,32
Wendell,,,State Senate,Hampshire and Franklin,Libertarian,Blank Votes,0
Berlin,,,U.S. Senate,,Republican,Total Votes Cast,32
Northbridge,,,State House,9th Worcester,Republican,All Others,0
TOTALS,,,State House,21st Middlesex,Republican,All Others,3
Cambridge,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,All Others,1
Russell,,,State Senate,2nd Hampden and Hampshire,Republican,Total Votes Cast,8
Arlington,,,State House,25th Middlesex,Democratic,Jim Marzilli,2866
W. Newbury,,,Governor's Council,5th,Democratic,All Others,0
N. Reading,,,U.S. House,6th,Republican,Frederick T. Golder,57
Woburn,,,State Senate,4th Middlesex,Libertarian,Total Votes Cast,7
Sturbridge,,,U.S. Senate,,Democratic,All Others,0
Hancock,,,U.S. Senate,,Republican,Total Votes Cast,6
TOTALS,,,State House,15th Middlesex,Democratic,All Others,11
Rochester,,,State House,10th Bristol,Republican,Blank Votes,27
Edgartown,,,U.S. Senate,,Republican,Blank Votes,18
Chester,,,Governor's Council,8th,Republican,Blank Votes,10
Lynn,,,Governor's Council,5th,Democratic,All Others,1
TOTALS,,,State House,1st Essex,Republican,All Others,8
Pittsfield,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,All Others,0
Bedford,,,Governor's Council,3rd,Democratic,Blank Votes,73
Duxbury,,,State Senate,Plymouth and Norfolk,Republican,"Robert L. Hedlund, Jr.",249
Washington,,,U.S. Senate,,Democratic,Blank Votes,0
Southwick,,,U.S. House,1st,Republican,All Others,0
Lanesborough,,,U.S. House,1st,Democratic,John W. Olver,37
Shirley,,,State Senate,Middlesex and Worcester,Libertarian,All Others,0
Marshfield,,,State House,4th Plymouth,,All Others,0
Douglas,,,U.S. Senate,,Libertarian,All Others,0
Shirley,,,U.S. Senate,,Democratic,All Others,0
Harwich,,,U.S. Senate,,Republican,All Others,1
TOTALS,,,State House,2nd Middlesex,Democratic,All Others,2
N. Reading,,,U.S. Senate,,Republican,Total Votes Cast,263
Norfolk,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Earl Henry Sholley,74
Arlington,,,Governor's Council,6th,Democratic,Total Votes Cast,5136
Orange,,,U.S. Senate,,Republican,Total Votes Cast,34
Orange,,,U.S. Senate,,Libertarian,Blank Votes,0
Montgomery,,,U.S. House,1st,Democratic,Blank Votes,0
Sudbury,,,State Senate,5th Middlesex,Democratic,All Others,1
Malden,,,State House,38th Middlesex,Republican,Blank Votes,7
Danvers,,,State House,13th Essex,Republican,Blank Votes,70
Weston,,,U.S. Senate,,Democratic,Edward M. Kennedy,130
W. Tisbury,,,State House,"Barnstable, Dukes and Nantucket",Republican,Total Votes Cast,26
Egremont,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,23
Framingham,,,State House,6th Middlesex,,Blank Votes,124
Salisbury,,,U.S. Senate,,Republican,All Others,6
Hanson,,,U.S. Senate,,Democratic,All Others,3
Peru,,,State House,2nd Berkshire,Republican,Blank Votes,1
Brimfield,,,State House,1st Hampden,Republican,Reed V. Hillman,21
Holliston,,,U.S. Senate,,Republican,Blank Votes,152
Groton,,,U.S. Senate,,Republican,Blank Votes,116
Lexington,,,Governor's Council,3rd,Democratic,Total Votes Cast,880
Chicopee,,,Governor's Council,8th,Republican,Total Votes Cast,265
Clinton,,,U.S. House,3rd,Democratic,James P. McGovern,1637
Norwell,,,State Senate,Norfolk and Plymouth,Democratic,Total Votes Cast,346
Northampton,,,U.S. Senate,,Republican,Blank Votes,7
Goshen,,,Governor's Council,8th,Republican,Total Votes Cast,15
W. Springfield,,,Governor's Council,8th,Democratic,Total Votes Cast,480
Tewksbury,,,U.S. House,5th,Democratic,Total Votes Cast,2062
Lakeville,,,U.S. Senate,,Republican,All Others,2
Randolph,,,U.S. Senate,,Democratic,Total Votes Cast,924
Tisbury,,,U.S. House,10th,Democratic,Total Votes Cast,127
Douglas,,,U.S. Senate,,Libertarian,Total Votes Cast,2
Barnstable,,,State House,"Barnstable, Dukes and Nantucket",Democratic,All Others,0
Mansfield,,,State House,14th Bristol,Democratic,Total Votes Cast,142
Belmont,,,State House,9th Middlesex,,All Others,0
Nantucket,,,State Senate,Cape and Islands,Democratic,All Others,0
Westborough,,,U.S. Senate,,Republican,Blank Votes,76
Carver,,,State Senate,1st Plymouth and Bristol,Republican,All Others,3
Dennis,,,U.S. Senate,,Libertarian,Carla A. Howell,2
Swansea,,,State Senate,1st Bristol,Democratic,All Others,0
Framingham,,,U.S. Senate,,Republican,"Jack E. Robinson, III",460
Shirley,,,U.S. Senate,,Republican,"Jack E. Robinson, III",64
Bourne,,,State House,2nd Plymouth,Republican,Rose Renee Fernandes,56
Halifax,,,Governor's Council,1st,Democratic,Blank Votes,126
Winchester,,,U.S. Senate,,Democratic,Blank Votes,155
Wakefield,,,State House,22nd Middlesex,Republican,Total Votes Cast,242
TOTALS,,,State House,4th Suffolk,Democratic,"John A. Hart, Jr.",1639
Lancaster,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,8
Lexington,,,State House,15th Middlesex,Democratic,Jay R. Kaufman,1239
Lee,,,U.S. Senate,,Republican,Blank Votes,21
Oakham,,,U.S. House,1st,Republican,Peter J. Abair,16
TOTALS,,,State House,7th Essex,Democratic,All Others,9
Halifax,,,Governor's Council,1st,Democratic,All Others,1
TOTALS,,,State House,7th Middlesex,Republican,Total Votes Cast,284
Ashby,,,U.S. Senate,,Democratic,Blank Votes,0
Rutland,,,Governor's Council,7th,Democratic,Blank Votes,160
Halifax,,,State Senate,1st Plymouth and Bristol,Republican,Total Votes Cast,180
Norton,,,U.S. Senate,,Democratic,Blank Votes,26
Framingham,,,State House,6th Middlesex,,All Others,4
W. Bridgewater,,,Governor's Council,2nd,Democratic,All Others,1
Yarmouth,,,State Senate,Cape and Islands,Republican,Blank Votes,70
Rowe,,,State House,2nd Berkshire,Democratic,Blank Votes,0
Quincy,,,U.S. Senate,,Republican,"Jack E. Robinson, III",585
TOTALS,,,State House,3rd Barnstable,Democratic,Total Votes Cast,2283
Winchendon,,,Governor's Council,7th,Democratic,Dennis P. McManus,68
Pembroke,,,U.S. House,4th,Libertarian,Blank Votes,0
Boston,,,State Senate,Suffolk and Middlesex,Democratic,Blank Votes,299
Newbury,,,U.S. Senate,,Republican,Total Votes Cast,121
Warren,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,91
Leyden,,,U.S. House,1st,Republican,All Others,0
Townsend,,,U.S. House,1st,Republican,Peter J. Abair,119
Barre,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Blank Votes,9
Sterling,,,U.S. Senate,,Democratic,All Others,60
Seekonk,,,U.S. House,3rd,Democratic,Total Votes Cast,112
W. Newbury,,,State House,2nd Essex,Republican,William C. Early,62
Tyngsborough,,,State House,39th Middlesex,Republican,Total Votes Cast,79
Hancock,,,State House,2nd Berkshire,Democratic,Total Votes Cast,9
Brookline,,,U.S. House,4th,Democratic,Barney Frank,4861
Topsfield,,,State House,13th Essex,Democratic,Blank Votes,23
Norton,,,U.S. Senate,,Democratic,Total Votes Cast,223
TOTALS,,,State House,20th Middlesex,Democratic,Blank Votes,49
Dighton,,,U.S. Senate,,Republican,Total Votes Cast,110
Leverett,,,U.S. House,1st,Republican,Total Votes Cast,15
TOTALS,,,State House,15th Middlesex,Democratic,Blank Votes,239
Brewster,,,U.S. Senate,,Republican,All Others,5
Dighton,,,State House,5th Bristol,Republican,Gary W. Pritchett,92
Burlington,,,U.S. Senate,,Libertarian,All Others,0
Amesbury,,,U.S. House,6th,Democratic,Blank Votes,101
Monroe,,,State House,2nd Berkshire,Democratic,Total Votes Cast,5
Seekonk,,,State House,4th Bristol,Democratic,Philip Travis,95
Huntington,,,U.S. House,1st,Republican,Peter J. Abair,15
Wellfleet,,,Governor's Council,1st,Democratic,All Others,0
Braintree,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",1317
Bernardston,,,U.S. Senate,,Republican,Total Votes Cast,23
Needham,,,U.S. House,9th,Democratic,All Others,4
Boston,,,State House,12th Suffolk,,Total Votes Cast,1095
Oxford,,,U.S. House,2nd,Democratic,All Others,0
Ashland,,,U.S. House,5th,Democratic,All Others,0
Buckland,,,U.S. House,1st,Democratic,Blank Votes,2
Leicester,,,U.S. Senate,,Democratic,Blank Votes,113
Lenox,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,Blank Votes,8
Blackstone,,,U.S. Senate,,Democratic,Edward M. Kennedy,193
Ware,,,U.S. Senate,,Democratic,Total Votes Cast,106
Walpole,,,U.S. House,9th,Democratic,Total Votes Cast,841
Concord,,,State Senate,5th Middlesex,Republican,Andrew B. Pryor,168
Amesbury,,,Governor's Council,5th,Democratic,Patricia A. Dowling,288
Holbrook,,,State Senate,Norfolk and Plymouth,Democratic,All Others,2
New Marlborough,,,U.S. Senate,,Democratic,Edward M. Kennedy,8
New Braintree,,,Governor's Council,7th,Democratic,Blank Votes,20
TOTALS,,,State House,11th Hampden,Democratic,Total Votes Cast,1381
Wenham,,,U.S. House,6th,Republican,All Others,0
Littleton,,,State Senate,Middlesex and Worcester,Democratic,Blank Votes,53
Wayland,,,U.S. Senate,,Libertarian,Total Votes Cast,4
Lowell,,,U.S. House,5th,Democratic,Martin T. Mechan,2997
Clarksburg,,,U.S. Senate,,Republican,All Others,0
TOTALS,,,State House,19th Suffolk,Democratic,Robert A. DeLeo,1060
Westhampton,,,U.S. Senate,,Democratic,Blank Votes,0
Lynn,,,State House,11th Essex,,All Others,1
Orange,,,U.S. House,1st,Republican,Total Votes Cast,34
TOTALS,,,State House,16th Worcester,Democratic,All Others,14
Northampton,,,Governor's Council,8th,Democratic,Blank Votes,132
Freetown,,,U.S. Senate,,Democratic,Edward M. Kennedy,351
Montgomery,,,Governor's Council,8th,Democratic,Edward M. O'Brien,7
Hadley,,,Governor's Council,8th,Republican,All Others,0
Halifax,,,State House,12th Plymouth,Democratic,Thomas J. O'Brien,175
TOTALS,,,State House,2nd Franklin,Democratic,All Others,1
Ipswich,,,U.S. Senate,,Libertarian,Carla A. Howell,5
Norfolk,,,U.S. House,4th,Libertarian,Total Votes Cast,4
Natick,,,U.S. Senate,,Libertarian,Total Votes Cast,4
Falmouth,,,Governor's Council,1st,Democratic,Blank Votes,377
Uxbridge,,,State House,8th Worcester,Democratic,Blank Votes,60
Washington,,,State House,2nd Berkshire,Republican,Blank Votes,0
Somerville,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,All Others,1
Waltham,,,U.S. Senate,,Libertarian,Carla A. Howell,19
Woburn,,,U.S. Senate,,Republican,All Others,0
E. Longmeadow,,,U.S. Senate,,Libertarian,Total Votes Cast,1
Boston,,,State House,8th Suffolk,,All Others,0
Amherst,,,U.S. Senate,,Republican,All Others,0
Boston,,,State Senate,2nd Suffolk,Democratic,Dianne Wilkerson,2951
Boylston,,,State Senate,1st Worcester,Republican,Total Votes Cast,67
Pepperell,,,U.S. House,5th,Democratic,All Others,8
W. Boylston,,,Governor's Council,7th,Democratic,All Others,2
Dover,,,U.S. House,4th,Democratic,Blank Votes,10
Stoughton,,,State House,8th Norfolk,Democratic,Louis L. Kafka,619
Lynn,,,U.S. Senate,,Libertarian,Total Votes Cast,6
Groton,,,State House,1st Middlesex,Republican,Total Votes Cast,288
Holbrook,,,State House,3rd Norfolk,,All Others,1
Plainfield,,,U.S. House,1st,Democratic,Total Votes Cast,23
Plymouth,,,State House,1st Plymouth,Republican,Total Votes Cast,1415
N. Andover,,,State House,21st Middlesex,,Total Votes Cast,110
Clinton,,,State House,12th Worcester,Democratic,Blank Votes,319
Wrentham,,,Governor's Council,2nd,Democratic,Total Votes Cast,225
Southampton,,,U.S. Senate,,Republican,Blank Votes,8
E. Brookfield,,,Governor's Council,7th,Democratic,Blank Votes,14
Canton,,,Governor's Council,2nd,Democratic,Terence J. O'Malley,51
Granby,,,U.S. Senate,,Democratic,Blank Votes,10
Granby,,,Governor's Council,8th,Democratic,Edward M. O'Brien,91
Gardner,,,Governor's Council,7th,Democratic,All Others,0
Northbridge,,,State House,9th Worcester,Republican,Total Votes Cast,106
Charlemont,,,State House,2nd Berkshire,Republican,All Others,0
Plympton,,,Governor's Council,1st,Democratic,Total Votes Cast,100
Webster,,,U.S. Senate,,Republican,All Others,0
Boston,,,State Senate,1st Suffolk,Democratic,Stephen F. Lynch,2648
Freetown,,,U.S. Senate,,Democratic,Blank Votes,63
Truro,,,U.S. House,10th,Republican,All Others,0
W. Tisbury,,,Governor's Council,1st,Democratic,All Others,0
Pittsfield,,,State House,3rd Berkshire,Democratic,Peter J. Larkin,364
TOTALS,,,State House,8th Norfolk,Democratic,Total Votes Cast,1178
Egremont,,,U.S. House,1st,Democratic,Total Votes Cast,23
Deerfield,,,Governor's Council,8th,Democratic,Blank Votes,5
Washington,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Webster,,,State House,8th Worcester,Democratic,Paul Kujawski,272
New Marlborough,,,State House,4th Berkshire,Democratic,Total Votes Cast,9
Granby,,,U.S. House,1st,Democratic,All Others,0
TOTALS,,,U.S. House,4th,Libertarian,Blank Votes,28
Plainville,,,U.S. Senate,,Republican,Total Votes Cast,121
Sunderland,,,U.S. Senate,,Democratic,Total Votes Cast,34
Billerica,,,U.S. Senate,,Libertarian,Blank Votes,2
Raynham,,,U.S. House,4th,Democratic,Blank Votes,51
Colrain,,,U.S. Senate,,Democratic,All Others,0
Colrain,,,State Senate,Hampshire and Franklin,Democratic,Blank Votes,0
Russell,,,U.S. Senate,,Republican,Total Votes Cast,8
Boston,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,Blank Votes,265
Marion,,,State House,10th Bristol,Democratic,All Others,1
Norton,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Blank Votes,36
Sandisfield,,,Governor's Council,8th,Republican,Marshall T. Moriarty,7
Dennis,,,U.S. Senate,,Libertarian,All Others,0
Edgartown,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Conway,,,State Senate,Hampshire and Franklin,Democratic,All Others,0
Mount Washington,,,U.S. Senate,,Democratic,Total Votes Cast,9
W. Stockbridge,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,"Andrea F. Nuciforo, Jr.",19
Lancaster,,,State Senate,Worcester and Middlesex,Democratic,Robert A. Antonioni,150
Bourne,,,Governor's Council,1st,Democratic,Total Votes Cast,507
W. Springfield,,,U.S. Senate,,Republican,Blank Votes,81
Erving,,,U.S. Senate,,Democratic,Edward M. Kennedy,16
Sunderland,,,Governor's Council,8th,Republican,Marshall T. Moriarty,18
Shrewsbury,,,U.S. Senate,,Libertarian,Total Votes Cast,7
TOTALS,,,State House,3rd Essex,Democratic,All Others,0
Plainville,,,Governor's Council,2nd,Democratic,Total Votes Cast,100
Stow,,,State Senate,Middlesex and Worcester,Democratic,Total Votes Cast,174
Saugus,,,U.S. Senate,,Democratic,Edward M. Kennedy,3497
Seekonk,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Total Votes Cast,112
TOTALS,,,State House,38th Middlesex,Libertarian,Total Votes Cast,3
TOTALS,,,State House,11th Worcester,Republican,Karyn E. Polito,855
Bedford,,,U.S. Senate,,Democratic,Edward M. Kennedy,292
Boxborough,,,State Senate,Middlesex and Worcester,Libertarian,Blank Votes,1
Natick,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Total Votes Cast,113
Canton,,,State Senate,Norfolk and Suffolk,Democratic,Blank Votes,62
Boxford,,,U.S. House,6th,Democratic,Total Votes Cast,104
Abington,,,U.S. House,10th,Democratic,Blank Votes,278
Framingham,,,State House,7th Middlesex,Libertarian,Total Votes Cast,12
TOTALS,,,State House,10th Bristol,Republican,All Others,4
Franklin,,,U.S. Senate,,Libertarian,Total Votes Cast,8
New Bedford,,,State House,12th Bristol,,Total Votes Cast,3569
Shutesbury,,,State Senate,Hampshire and Franklin,Libertarian,Michael P. Froimowitz,2
Natick,,,U.S. House,7th,Democratic,Total Votes Cast,771
Bridgewater,,,State Senate,1st Plymouth and Bristol,Republican,Total Votes Cast,212
Sandwich,,,State House,3rd Barnstable,Republican,Blank Votes,39
Georgetown,,,U.S. House,6th,Republican,Paul McCarthy,66
Lynnfield,,,U.S. House,6th,Republican,Blank Votes,8
W. Boylston,,,State House,14th Worcester,,All Others,1
Hudson,,,Governor's Council,3rd,Democratic,Blank Votes,79
Wales,,,U.S. Senate,,Democratic,All Others,1
Berkley,,,U.S. House,4th,Democratic,Blank Votes,14
Oak Bluffs,,,Governor's Council,1st,Democratic,Carole A. Fiola,81
Northampton,,,U.S. Senate,,Libertarian,All Others,0
Lunenburg,,,Governor's Council,7th,Democratic,Dennis P. McManus,127
Weymouth,,,U.S. House,10th,Democratic,William D. Delahunt,4052
Bernardston,,,U.S. Senate,,Democratic,All Others,0
Easthampton,,,Governor's Council,8th,Republican,Blank Votes,5
Maynard,,,State House,13th Middlesex,Libertarian,Irwin L. Jungreis,4
Danvers,,,State Senate,2nd Essex,Democratic,All Others,2
Ashby,,,U.S. House,1st,Democratic,All Others,0
Westborough,,,State House,11th Worcester,Republican,Blank Votes,7
TOTALS,,,Governor's Council,3rd,Democratic,Manlyn Petitto M. Devaney,14274
Chester,,,U.S. House,1st,Democratic,Total Votes Cast,21
TOTALS,,,State House,6th Hampden,Republican,Total Votes Cast,349
Chatham,,,U.S. Senate,,Democratic,All Others,1
Townsend,,,U.S. Senate,,Democratic,Total Votes Cast,187
Brewster,,,State Senate,Cape and Islands,Republican,Total Votes Cast,258
Phillipston,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,28
Rowe,,,State House,2nd Berkshire,Democratic,Total Votes Cast,14
Huntington,,,U.S. Senate,,Democratic,Edward M. Kennedy,33
Orange,,,U.S. House,1st,Republican,Blank Votes,0
Chicopee,,,State House,6th Hampden,Republican,Blank Votes,0
Brookline,,,State House,8th Suffolk,Republican,All Others,0
Carlisle,,,U.S. House,5th,Democratic,All Others,0
Hardwick,,,U.S. Senate,,Democratic,Blank Votes,11
W. Brookfield,,,U.S. Senate,,Libertarian,Blank Votes,0
Duxbury,,,U.S. Senate,,Libertarian,Total Votes Cast,3
Haverhill,,,U.S. House,6th,Republican,All Others,2
Hull,,,State House,3rd Plymouth,Democratic,All Others,0
Yarmouth,,,U.S. Senate,,Republican,"Jack E. Robinson, III",310
TOTALS,,,State House,1st Franklin,Democratic,All Others,2
Pembroke,,,U.S. Senate,,Libertarian,Total Votes Cast,1
Norfolk,,,Governor's Council,2nd,Democratic,Kelly Tinility,71
Essex,,,U.S. Senate,,Republican,Total Votes Cast,56
Dunstable,,,U.S. Senate,,Republican,Blank Votes,8
Lee,,,Governor's Council,8th,Democratic,Total Votes Cast,115
Plymouth,,,U.S. House,10th,Republican,All Others,5
Weston,,,State House,14th Norfolk,Democratic,All Others,0
Erving,,,Governor's Council,7th,Democratic,Total Votes Cast,20
W. Boylston,,,State House,12th Worcester,Democratic,Blank Votes,92
TOTALS,,,State House,9th Middlesex,Republican,Total Votes Cast,492
Holland,,,U.S. Senate,,Democratic,All Others,0
TOTALS,,,State House,1st Norfolk,Democratic,Blank Votes,573
N. Attleborough,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Blank Votes,39
Adams,,,U.S. Senate,,Libertarian,Blank Votes,0
TOTALS,,,State House,18th Middlesex,Democratic,All Others,7
Egremont,,,U.S. House,1st,Republican,Total Votes Cast,13
New Salem,,,U.S. House,1st,Democratic,Blank Votes,0
Springfield,,,State House,2nd Hampden,Libertarian,Alan L. Wilcox,0
Oakham,,,U.S. House,1st,Democratic,John W. Olver,43
Canton,,,State Senate,Suffolk and Norfolk,Democratic,Total Votes Cast,248
TOTALS,,,State House,24th Middlesex,Democratic,"William G. Greene, Jr.",1003
Methuen,,,State House,16th Essex,Republican,All Others,9
Westhampton,,,U.S. House,1st,Democratic,All Others,0
E. Bridgewater,,,Governor's Council,2nd,Democratic,Total Votes Cast,634
Sherborn,,,U.S. Senate,,Democratic,Edward M. Kennedy,75
Sheffield,,,State House,4th Berkshire,Democratic,Blank Votes,0
Southbridge,,,U.S. House,2nd,Democratic,Joseph R. Fountain,250
Palmer,,,U.S. House,2nd,Democratic,Richard E. Neal,135
Harvard,,,U.S. House,5th,Democratic,All Others,0
Acton,,,State House,14th Middlesex,Democratic,Blank Votes,114
Dighton,,,Governor's Council,1st,Democratic,Carole A. Fiola,144
Dunstable,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Dighton,,,U.S. House,4th,Libertarian,Total Votes Cast,1
Upton,,,Governor's Council,7th,Democratic,Blank Votes,22
Boxborough,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,17
Easthampton,,,State Senate,2nd Hampden and Hampshire,Republican,Michael R. Knapik,32
Middlefield,,,Governor's Council,8th,Democratic,Blank Votes,1
Oak Bluffs,,,U.S. House,10th,Republican,Eric V. Bleicken,40
Leominster,,,U.S. House,1st,Republican,Peter J. Abair,117
Rockland,,,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,83
Falmouth,,,U.S. Senate,,Libertarian,Total Votes Cast,8
Blandford,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,"Andrea F. Nuciforo, Jr.",17
Bellingham,,,State House,10th Norfolk,Democratic,Blank Votes,58
Upton,,,U.S. Senate,,Republican,Blank Votes,23
Holland,,,Governor's Council,7th,Democratic,Dennis P. McManus,19
Winthrop,,,U.S. Senate,,Libertarian,Total Votes Cast,2
Marlborough,,,State Senate,Middlesex and Worcester,Libertarian,Total Votes Cast,10
TOTALS,,,State House,4th Berkshire,Democratic,Total Votes Cast,530
Everett,,,State House,31st Middlesex,Democratic,Total Votes Cast,1498
Hingham,,,U.S. House,10th,Republican,Eric V. Bleicken,493
Douglas,,,U.S. Senate,,Democratic,Blank Votes,17
Medford,,,State House,25th Middlesex,Democratic,Richard Arena,281
Westfield,,,U.S. Senate,,Libertarian,Blank Votes,0
Weymouth,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",3464
Rowley,,,Governor's Council,5th,Democratic,Total Votes Cast,100
TOTALS,,,U.S. House,9th,Republican,Total Votes Cast,4673
Clinton,,,U.S. Senate,,Libertarian,Blank Votes,0
Sherborn,,,U.S. Senate,,Libertarian,All Others,0
W. Springfield,,,U.S. Senate,,Democratic,Total Votes Cast,480
Carver,,,U.S. Senate,,Democratic,Edward M. Kennedy,317
Lee,,,U.S. Senate,,Republican,"Jack E. Robinson, III",22
Taunton,,,State House,3rd Bristol,Democratic,James H. Fagan,794
Northfield,,,U.S. Senate,,Democratic,All Others,0
Winthrop,,,U.S. House,7th,Democratic,Blank Votes,117
Salem,,,State House,7th Essex,Democratic,Total Votes Cast,1707
Milton,,,U.S. House,9th,Democratic,Total Votes Cast,1963
Natick,,,U.S. House,7th,Democratic,Blank Votes,127
Georgetown,,,Governor's Council,5th,Democratic,All Others,1
Northborough,,,State House,12th Worcester,Republican,Blank Votes,6
Granby,,,State Senate,1st Hampden and Hampshire,Republican,Total Votes Cast,117
Warren,,,U.S. Senate,,Libertarian,Total Votes Cast,2
Washington,,,U.S. House,1st,Democratic,Blank Votes,0
Carver,,,State House,2nd Plymouth,Republican,All Others,2
Swansea,,,U.S. Senate,,Democratic,Blank Votes,310
Swampscott,,,U.S. Senate,,Libertarian,All Others,0
Monterey,,,U.S. House,1st,Republican,Peter J. Abair,12
Cheshire,,,State House,2nd Berkshire,Democratic,Andrew Baker,33
Truro,,,U.S. Senate,,Democratic,Total Votes Cast,61
Boston,,,State House,8th Suffolk,Democratic,Paul C. Demakis,190
Norwood,,,State Senate,Norfolk and Suffolk,Democratic,All Others,7
Carlisle,,,Governor's Council,3rd,Democratic,All Others,0
Rockport,,,U.S. Senate,,Democratic,Blank Votes,16
Mount Washington,,,U.S. Senate,,Republican,All Others,0
Longmeadow,,,U.S. House,2nd,Democratic,Blank Votes,6
Stow,,,U.S. Senate,,Democratic,All Others,3
Carver,,,State House,2nd Plymouth,Democratic,All Others,2
Shelburne,,,Governor's Council,8th,Democratic,Blank Votes,4
Paxton,,,State House,13th Worcester,Democratic,Total Votes Cast,812
Concord,,,U.S. Senate,,Republican,All Others,1
TOTALS,,,State House,5th Norfolk,Democratic,Joseph C. Sullivan,1796
Clarksburg,,,Governor's Council,8th,Republican,All Others,0
Burlington,,,Governor's Council,6th,Democratic,Michael J. Callahan,467
S. Hadley,,,Governor's Council,8th,Republican,All Others,0
Chilmark,,,State House,"Barnstable, Dukes and Nantucket",Republican,All Others,0
Petersham,,,U.S. Senate,,Republican,All Others,0
Chelmsford,,,State Senate,5th Middlesex,Republican,Blank Votes,91
Dedham,,,U.S. House,9th,Republican,All Others,4
Greenfield,,,U.S. Senate,,Republican,"Jack E. Robinson, III",78
Princeton,,,U.S. House,3rd,Democratic,Total Votes Cast,96
Westfield,,,U.S. House,1st,Democratic,Total Votes Cast,323
Amesbury,,,U.S. Senate,,Republican,All Others,4
Wareham,,,State Senate,Plymouth and Barnstable,Democratic,Therese Murray,683
Rockland,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",399
Maynard,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,32
Braintree,,,U.S. House,9th,Democratic,Blank Votes,459
Monson,,,U.S. Senate,,Democratic,Total Votes Cast,90
Ashland,,,Governor's Council,2nd,Democratic,Blank Votes,52
Northborough,,,U.S. Senate,,Republican,"Jack E. Robinson, III",38
Gloucester,,,U.S. Senate,,Democratic,Edward M. Kennedy,471
Wilbraham,,,Governor's Council,8th,Democratic,Total Votes Cast,189
Leyden,,,State Senate,Hampshire and Franklin,Democratic,Total Votes Cast,6
